Name,Type,Model,Hostname,IP,MAC
childroom,shelly1pm,SHSW-PM,shelly1pm-childroom-3C6105E5070B,10.8.60.10,3C6105E5070B
dining,shelly1pm,SHSW-PM,shelly1pm-dining-E8DB84D4FBCB,10.8.60.11,E8DB84D4FBCB
office-overhead,shelly1pm,SHSW-PM,shelly1pm-office-overhead-E8DB84D7D3CD,10.8.60.12,E8DB84D7D3CD
terrace,shelly1pm,SHSW-PM,shelly1pm-terrace-E8DB84D7DD29,10.8.60.13,E8DB84D7DD29
closet,shelly1pm,SHSW-PM,shelly1pm-closet-E8DB84D7E632,10.8.60.14,E8DB84D7E632
sofa-spots,shellydimmer2,SHDM-2,shellydimmer2-sofa-spots-3C6105E3B5D5,10.8.60.15,3C6105E3B5D5
tv-spots,shellydimmer2,SHDM-2,shellydimmer2-tv-spots-3C6105E407BA,10.8.60.16,3C6105E407BA
entryway-spots,shellydimmer2,SHDM-2,shellydimmer2-entryway-spots-3C6105E44F8E,10.8.60.17,3C6105E44F8E
office-spots,shellydimmer2,SHDM-2,shellydimmer2-office-spots-3C6105E47568,10.8.60.18,3C6105E47568
kitchen-spots,shellydimmer2,SHDM-2,shellydimmer2-kitchen-spots-3C6105E475BD,10.8.60.19,3C6105E475BD
bathroom-shower,shellyrgbw2,SHRGBW2,shellyrgbw2-bathroom-shower-98CDAC262CD0,10.8.60.20,98CDAC262CD0
bathroom-mirror,shellyrgbw2,SHRGBW2,shellyrgbw2-bathroom-mirror-98CDAC264611,10.8.60.21,98CDAC264611
bed,shellyrgbw2,SHRGBW2,shellyrgbw2-bed-98CDAC265129,10.8.60.22,98CDAC265129
kitchen-cabinets,shellyrgbw2,SHRGBW2,shellyrgbw2-kitchen-cabinets-E8DB84DDD06F,10.8.60.23,E8DB84DDD06F
toilet,shellyswitch25,SHSW-25,shellyswitch25-toilet-E8DB84AA5A58,10.8.60.25,E8DB84AA5A58
gr-switch,shellyswitch25,SHSW-25,shellyswitch25-gr-switch-E8DB84AABB8C,10.8.60.26,E8DB84AA4689
bathroom-overhead-fan,shellyswitch25,SHSW-25,shellyswitch25-bathroom-overhead-fan-3C6105E4466A,10.8.60.24,3C6105E4466A
hallway,shelly1pm,SHSW-PM,shelly1pm-hallway-E8DB84D7DAFF,10.8.60.27,E8DB84D7DAFF
bedroom-switch-esphome,,,,10.8.60.28,e8:db:84:aa:8a:ab
quinled-a-south,,,,10.8.60.29,84:cc:a8:69:9a:38
quinled-b-north,,,,10.8.60.30,84:cc:a8:69:9c:50
gr2,shellyswitch25,SHSW-25,shellyswitch25-gr2-E8DB84AABD27,10.8.60.31,E8DB84AABD27
wled-office,quin-dig-uno-wled,,,10.8.60.32,c4:dd:57:b3:47:78
lr-radiator,shellyrgbw2,SHRGBW2,shellyrgbw2-lr-radiator-98CDAC2630DD,10.8.60.33,98CDAC2630DD
office-workbench,shellyrgbw2,SHRGBW2,shellyrgbw2-office-workbench-98CDAC26768C,10.8.60.34,98CDAC26768C
office-workbench,shellybutton,,shellybutton1-office-workbench-E8DB84AC6D4A,10.8.60.35,E8DB84AC6D4A
plug-network-cabinet,shellyplug,SHPLG-S,plug-network-cabinet,10.8.60.36,E868E7F14AF9
plug-kitchen-quooker,shellyplug,SHPLG-S,plug-kitchen-quooker,10.8.60.39,E868E7F1B46D
em-socozy,shellyem,SHEM,em-socozy,10.8.60.38,244CAB432659
plug-kitchen-dishwasher,shellyplug,SHPLG-S,plug-kitchen-dish-washer,10.8.60.37,E868E7F14586
plug-lr-tv1,shellyplug,SHPLG-S,plug-kitchen-tv1,10.8.60.40,E868E7F1A48D
plug-AC,shellyplug,SHPLG-S,plug-AC,10.8.60.41,E868E7F1603F
plug-washing-machine,shellyplug,SHPLG-S,plug-washing-machine,10.8.60.42,E868E7F17D62
plug-office-desk1,shellyplug,SHPLG-S,plug-office-desk1,10.8.60.43,C45BBED9B1EA
plug-office-desk2,shellyplug,SHPLG-S,plug-office-desk2,10.8.60.44,E868E7F1430C
bathroom-climate-sensor,,,,10.8.60.45,EC:FA:BC:59:42:9F
wled-childroom-nightlight,,,,10.8.60.46,ec:fa:bc:59:3c:51
wled-fairylights,,,,10.8.60.47,78:21:84:4f:50:f4
shellyplusht-office,,,,10.8.60.49,80:64:6F:CB:D3:C0
shellyplusht-terrace,,,,10.8.60.50,80:64:6F:E1:63:50
